"Subj" "cond" "run" "rew" "cue" "acc_diff" "rt_diff"
34 4 1 2 2 12.5 242.31746031746
35 4 1 2 2 -20.2380952380952 25.5636363636363
36 4 1 2 2 0 64.875
37 4 1 2 2 27.3809523809524 -19.7857142857142
0 4 2 2 2 8.33333333333334 -78.7272727272727
1 4 2 2 2 0 6.83333333333326
2 4 2 2 2 27.5 -34.4285714285713
3 4 2 2 2 12.5 52.1904761904761
4 4 2 2 2 -12.5 -12.3928571428571
6 4 2 2 2 20.8333333333333 200.428571428571
7 4 2 2 2 -2.5 56.1428571428571
8 4 2 2 2 0 -205.541666666667
9 4 2 2 2 0 101.625
11 4 2 2 2 12.5 -19.6666666666667
13 4 2 2 2 -29.1666666666667 -134.145454545455
14 4 2 2 2 12.5 -257.873015873016
15 4 2 2 2 20.8333333333333 -235.607142857143
17 4 2 2 2 -16.6666666666667 -264.75
18 4 2 2 2 8.33333333333334 -24.5681818181818
20 4 2 2 2 7.95454545454546 -74.8666666666668
21 4 2 2 2 8.33333333333334 -52.125
24 4 2 2 2 0 -60
26 4 2 2 2 27.2727272727273 -76.5
27 4 2 2 2 0 -54.25
28 4 2 2 2 -4.16666666666666 12.961038961039
29 4 2 2 2 0 -70.5833333333333
30 4 2 2 2 8.33333333333334 -7.39772727272725
31 4 2 2 2 -12.5 -219.75
32 4 2 2 2 8.33333333333334 143.625
33 4 2 2 2 -8.33333333333334 -90.4333333333332
34 4 2 2 2 12.5 54.7460317460318
35 4 2 2 2 8.33333333333334 112.863636363636
36 4 2 2 2 0 15.4285714285714
37 4 2 2 2 29.1666666666667 -53.8571428571429
0 4 3 2 2 -4.16666666666666 -43.2987012987014
1 4 3 2 2 0 -106.166666666667
2 4 3 2 2 2.5 29
3 4 3 2 2 12.5 -172.517857142857
4 4 3 2 2 0 -59.5
6 4 3 2 2 20.8333333333333 373.428571428571
7 4 3 2 2 10 26.625
8 4 3 2 2 0 -134.916666666667
9 4 3 2 2 0 8.625
11 4 3 2 2 12.5 -143.52380952381
13 4 3 2 2 8.33333333333334 -12.1704545454545
14 4 3 2 2 0 -255.111111111111
15 4 3 2 2 33.3333333333333 -152.375
17 4 3 2 2 -29.1666666666667 99.8333333333333
18 4 3 2 2 8.33333333333334 -82.8181818181818
20 4 3 2 2 -11.6883116883117 -64
21 4 3 2 2 -4.16666666666666 -225.285714285714
24 4 3 2 2 12.5 -96.3333333333333
26 4 3 2 2 14.7727272727273 -259.642857142857
27 4 3 2 2 0 -97.25
28 4 3 2 2 8.33333333333334 88.5681818181819
29 4 3 2 2 -25 -174.75
30 4 3 2 2 8.33333333333334 -3.77272727272725
31 4 3 2 2 -12.5 -62.8928571428571
32 4 3 2 2 -4.16666666666666 145.571428571429
33 4 3 2 2 16.6666666666667 -106.385714285714
34 4 3 2 2 12.5 119.31746031746
35 4 3 2 2 -4.16666666666666 39.9350649350649
36 4 3 2 2 0 247.875
37 4 3 2 2 8.33333333333332 13.4642857142858
0 4 4 2 2 8.33333333333334 -89.4772727272727
1 4 4 2 2 0 -53.0416666666667
2 4 4 2 2 6.66666666666666 51
3 4 4 2 2 12.5 -137.142857142857
4 4 4 2 2 0 6.5
6 4 4 2 2 19.0476190476191 79.8333333333333
7 4 4 2 2 10 -81.375
8 4 4 2 2 0 -273.666666666667
9 4 4 2 2 -12.5 100.392857142857
11 4 4 2 2 -12.5 -253.066666666667
13 4 4 2 2 8.33333333333334 -8.7954545454545
14 4 4 2 2 0 -146.777777777778
15 4 4 2 2 8.33333333333334 -287.75
17 4 4 2 2 -9.52380952380952 -185.75
18 4 4 2 2 8.33333333333334 3.80681818181824
20 4 4 2 2 -4.54545454545454 0.333333333333258
21 4 4 2 2 -4.16666666666666 -83.2857142857143
24 4 4 2 2 25 -42.4583333333333
26 4 4 2 2 27.2727272727273 -395.5
27 4 4 2 2 0 -132.5
28 4 4 2 2 8.33333333333334 118.693181818182
29 4 4 2 2 -12.5 -21.297619047619
30 4 4 2 2 -16.6666666666667 40.8939393939394
31 4 4 2 2 -12.5 -74.3214285714287
32 4 4 2 2 8.33333333333334 250.375
33 4 4 2 2 16.6666666666667 12.4714285714288
34 4 4 2 2 12.5 101.460317460318
35 4 4 2 2 -4.16666666666666 73.5064935064934
36 4 4 2 2 0 209.375
37 4 4 2 2 16.6666666666667 -136.119047619047
